elapsed_s,gpu_uuid,clock_mhz,memory_clock_mhz,temperature_c,power_w,utilization_pct
1100.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.00,100
1105.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.00,100
1110.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.98,100
1115.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,585.43,100
1120.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.08,100
1125.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.95,100
1130.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.06,100
1135.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.00,100
1140.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.01,100
1145.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.09,100
1150.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.98,100
1155.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.98,100
1160.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.97,100
1165.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.98,100
1170.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.81,100
1175.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.03,100
1180.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.95,100
1185.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.02,100
1190.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.04,100
1195.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.01,100
1200.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.90,100
